,0,1
0,15,267
1,83,504
2,69,730
3,85,771
4,171,0
5,257,0
6,373,0
7,361,0
8,414,0
9,220,0
10,303,0
11,343,0
12,428,0
13,212,0
14,501,0
15,248,0
16,332,0
17,310,0
18,369,0
19,211,0
20,400,0
21,400,0
22,200,0
23,264,0
24,340,0
25,438,0
26,172,0
27,302,0
28,341,0
29,286,0
30,222,0
31,247,0
32,329,0
33,302,0
34,423,0
35,389,0
36,246,0
37,433,0
38,256,0
39,446,0
40,362,0
41,281,0
42,86,218
43,61,220
44,73,799
45,116,1020
46,82,401
47,100,347
48,153,107
49,159,645
50,136,0
51,327,0
52,222,0
53,281,0
54,173,635
55,77,0
56,216,0
57,155,0
58,43,846
59,108,1150
60,150,303
61,120,589
62,148,147
63,174,0
64,235,0
65,147,0
66,172,0
67,100,0
68,124,0
69,191,0
70,167,0
71,168,0
72,518,0
73,140,0
74,195,0
75,391,0
76,141,0
77,110,467
78,83,1797
79,163,2099
80,251,2985
81,103,2481
82,80,2389
83,407,407
84,219,0
85,321,0
86,170,0
87,121,0
88,191,0
89,475,0
90,169,0
91,301,0
92,438,0
93,555,0
94,398,0
95,544,0
96,381,0
97,305,0
98,230,0
99,218,0
100,333,0
101,255,0
102,471,0
103,728,0
104,363,0
105,319,0
106,254,0
107,172,0
108,341,0
109,406,0
